can_id,can_data,interval_ms
0x18C4D2D0,84 BB 10 FA 0F 00 00 DA,10
0x18C4D2D0,84 BB 10 FA 0F 00 10 CA,10
0x18C4D2D0,84 BB 10 FA 0F 00 20 FA,10
0x18C4D2D0,84 BB 10 FA 0F 00 30 EA,10
0x18C4D2D0,84 BB 10 FA 0F 00 40 9A,10
0x18C4D2D0,84 BB 10 FA 0F 00 50 8A,10
0x18C4D2D0,84 BB 10 FA 0F 00 60 BA,10
0x18C4D2D0,84 BB 10 FA 0F 00 70 AA,10
0x18C4D2D0,84 BB 10 FA 0F 00 80 5A,10
0x18C4D2D0,84 BB 10 FA 0F 00 90 4A,10
0x18C4D2D0,84 BB 10 FA 0F 00 A0 7A,10
0x18C4D2D0,84 BB 10 FA 0F 00 B0 6A,10
0x18C4D2D0,84 BB 10 FA 0F 00 C0 1A,10
0x18C4D2D0,84 BB 10 FA 0F 00 D0 0A,10
0x18C4D2D0,84 BB 10 FA 0F 00 E0 3A,10
0x18C4D2D0,84 BB 10 FA 0F 00 F0 2A,10
0x18C4D2D0,84 BB 10 FA 0F 00 00 DA,10
0x18C4D2D0,84 BB 10 FA 0F 00 10 CA,10
0x18C4D2D0,84 BB 10 FA 0F 00 20 FA,10
0x18C4D2D0,84 BB 10 FA 0F 00 30 EA,10
0x18C4D2D0,84 BB 10 FA 0F 00 40 9A,10
0x18C4D2D0,84 BB 10 FA 0F 00 50 8A,10
0x18C4D2D0,84 BB 10 FA 0F 00 60 BA,10
0x18C4D2D0,84 BB 10 FA 0F 00 70 AA,10
0x18C4D2D0,84 BB 10 FA 0F 00 80 5A,10
0x18C4D2D0,84 BB 10 FA 0F 00 90 4A,10
0x18C4D2D0,84 BB 10 FA 0F 00 A0 7A,10
0x18C4D2D0,84 BB 10 FA 0F 00 B0 6A,10
0x18C4D2D0,84 BB 10 FA 0F 00 C0 1A,10
0x18C4D2D0,84 BB 10 FA 0F 00 D0 0A,10
0x18C4D2D0,84 BB 10 FA 0F 00 E0 3A,10
0x18C4D2D0,84 BB 10 FA 0F 00 F0 2A,10
0x18C4D2D0,84 BB 10 FA 0F 00 00 DA,10
